"",gene_symbol,GSM1275862,GSM1275863,GSM1275864,GSM1275865,GSM1275866,GSM1275867,GSM1275868,GSM1275869,GSM1275870,GSM1275871,GSM1275872,GSM1275873,GSM1275874,GSM1275875,GSM1275876,GSM1275877
ENSG00000140750,ARHGAP17,1306.2952,1144.245,1227.0428,1210.7028,1410.0989,845.0889,2041.743,1292.9034,1272.8974,1654.9,1541.1093,1101.773,1126.1473,1005.4961,1756.2768,1383.9691
ENSG00000140795,MYLK3,22.4649,19.9131,42.8728,27.827,50.7323,22.6313,69.8286,43.8336,44.2679,51.5592,55.8545,40.1118,32.912,31.6684,47.4749,59.2998
ENSG00000140798,ABCC12,0,0,0,0.5421,0,0,0,0,0,0,0,0,0,4.2234,4.2302,2.0982
ENSG00000140807,NKD1,86.2983,350.6389,148.2368,341.8953,115.5181,394.6684,304.5474,76.0738,50.9576,296.3675,318.6426,46.5984,128.2432,701.6906,116.2503,950.7837
ENSG00000140829,DHX38,1232.8439,1175.7039,1435.9677,1371.8246,1413.6368,850.3859,2064.7044,1142.8528,1458.1184,2036.7133,1779.9101,1085.473,969.9335,1257.8102,1429.1291,1591.5255
ENSG00000140830,TXNL4B,223.2987,142.975,180.707,186.5557,169.9315,99.4781,217.8723,147.2486,163.7331,209.0432,195.4446,118.1334,123.9445,163.4022,174.9433,257.4864
ENSG00000140832,MARVELD3,9.8808,8.2693,7.8839,7.4286,15.5539,5.845,12.7816,6.1981,12.4204,8.2617,12.5396,7.9868,8.0709,4.2351,13.5017,9.6146
ENSG00000140835,CHST4,0,0,0,0,0,0,0.9299,0,0,0,2.0472,0,1.0262,0,1.0251,0
ENSG00000140836,ZFHX3,1253.4313,1121.8805,1400.9721,1073.2346,1573.1657,914.3551,2362.5679,1681.9441,1461.8535,1976.9199,1480.1391,983.2297,1280.8332,1276.1769,1633.3504,1759.2646
ENSG00000140839,CLEC18B,0.8562,9.0006,1.205,2.67,0,2.0608,3.1388,0.4645,2.0054,0,3.1061,1.2583,0,0,0,1.9983
ENSG00000140848,CPNE2,414.1323,442.0986,406.0522,428.1989,390.6256,268.4745,477.4411,343.4458,399.9996,560.3532,530.6468,314.6985,464.0983,462.9227,582.9345,711.0969
ENSG00000140853,NLRC5,321.4079,538.9142,384.1139,442.3596,621.5671,330.4289,687.7311,386.1661,480.0292,624.4672,513.5342,340.9258,322.3909,357.6611,505.013,538.1349
ENSG00000140854,KATNB1,392.0082,336.0506,329.4651,326.4376,389.2388,217.1744,466.2995,326.789,336.129,433.1186,351.1225,378.2768,321.7558,333.6596,450.6537,408.3245
ENSG00000140859,KIFC3,720.6387,653.2533,590.5559,549.9036,630.618,304.4976,716.4128,505.5319,905.032,1608.4183,1305.6929,725.5409,566.3299,669.364,885.0593,706.7522
ENSG00000140873,ADAMTS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000140876,NUDT7,94.774,45.9131,87.7671,64.9316,80.9619,51.1773,106.2537,64.5347,58.8772,91.7319,79.0927,56.5543,76.2766,77.5957,117.5996,122.4652
ENSG00000140905,GCSH,235.6098,175.8405,180.2165,184.3446,230.0842,132.9681,316.1606,207.8103,281.3304,261.6044,235.8847,203.878,218.3095,146.6336,205.4631,182.4611
ENSG00000140931,CMTM3,748.8805,653.6761,860.4193,717.8136,694.7944,485.0197,1075.4469,646.9486,560.386,700.7124,616.9667,443.9024,689.7921,831.4716,902.0089,1269.6439
ENSG00000140932,CMTM2,0,1.3838,0,0,1.0806,0,0,0,0,0,0,0,1.3489,0,1.0586,0
ENSG00000140937,CDH11,11196.3182,6402.8721,10244.6989,6749.8658,13349.626,6018.5525,13021.8034,9629.1176,8204.3844,12268.1807,8572.2439,6416.9779,10827.6689,10567.7222,14139.4084,13317.0793
ENSG00000140939,NOL3,241.3069,240.3979,240.2255,235.2889,380.8364,187.9739,419.7995,264.0695,319.4796,357.6522,317.7738,182.714,248.0532,200.9157,376.6994,314.8358
ENSG00000140941,MAP1LC3B,3476.0036,2949.4384,3191.1327,3050.2007,3971.5945,2689.5782,5596.7319,3397.8755,4022.9867,4508.4858,4280.3833,3201.6401,3166.9622,3369.8753,3963.3767,4475.5532
ENSG00000140943,MBTPS1,3915.6089,3083.1208,4176.8086,3172.5103,4442.8877,2487.9993,5883.4048,3891.278,4617.1118,4864.9751,4325.6595,3683.2193,4043.1272,3972.9709,5584.672,5133.6643
ENSG00000140945,CDH13,731.8488,815.4798,741.5022,594.2393,567.6354,314.9374,706.4753,327.6918,1039.0847,1567.8496,1326.7797,747.8696,382.6851,720.3087,381.2752,892.2739
ENSG00000140948,ZCCHC14,1719.2911,1230.5994,1848.4769,1301.1064,1422.2242,827.2237,2275.2682,1577.406,1417.5199,1279.5947,1255.7221,1685.7986,1716.4444,1532.8339,2472.8487,1894.5725
ENSG00000140950,TLDC1,413.7175,379.0059,423.5171,464.5337,445.2985,342.552,794.4126,470.3392,506.5875,716.9701,659.2516,400.1457,384.5374,507.9716,570.5819,679.2588
ENSG00000140955,ADAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968
ENSG00000140961,OSGIN1,246.209,189.2183,274.549,183.2672,142.9689,163.3233,332.2185,268.0643,254.7786,202.5934,159.8542,202.8673,148.2397,184.578,290.979,275.3577
ENSG00000140968,IRF8,1.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000140983,RHOT2,1128.4072,1087.2274,1079.1695,1061.0876,1042.8218,496.9868,1353.4067,725.8202,989.1229,1588.8284,1282.6542,874.4722,766.0781,1012.9874,1061.3624,1208.0563
ENSG00000140986,RPL3L,2.0095,4.0523,7.952,2.0211,6.9969,2.0823,7.2411,5.0259,6.9133,6.9089,5.9796,9.69,4.0008,4.003,5.0476,5.9672
ENSG00000140987,ZSCAN32,246.8915,215.006,269.6772,265.6165,274.9537,162.2931,456.0025,296.6371,324.8878,346.5573,324.6712,280.7067,234.6079,204.0023,353.4581,328.4591
ENSG00000140988,RPS2,26045.7717,25142.3264,22348.226,22424.3291,24144.6199,11704.8126,27726.1911,16927.4216,25379.4641,28551.2827,29717.817,18726.2078,16253.5285,16799.501,19849.8809,23028.362
ENSG00000140990,NDUFB10,870.8832,868.484,749.7925,792.9249,1091.8825,561.7305,1226.8115,660.4383,1268.2066,1401.719,1365.3183,925.7041,771.9691,871.4614,1080.4661,1225.2479
ENSG00000140992,PDPK1,1333.7421,1302.0713,1471.5908,1474.8976,1471.4635,832.3434,2174.4835,1285.743,1528.4902,1830.5007,1581.2216,1428.2593,1353.2422,1726.2229,2030.7029,1660.257
